epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.48693,1.6459,2.62492,1.72929,0.00667,0.93617,0.36197,0.14402,1.29088,2.96585,1.6446,2e-05,2e-05,2e-05
2,16.5975,1.41507,2.54831,1.5637,0.00667,0.93617,0.4294,0.1943,1.17237,2.94966,1.58591,4.812e-05,4.812e-05,4.812e-05
3,23.9985,1.37757,2.47408,1.6377,0.00667,0.93617,0.52626,0.29553,1.09714,2.92572,1.53004,6.04e-05,6.04e-05,6.04e-05
4,31.2135,1.27134,2.35353,1.49671,0.00667,0.93617,0.59035,0.37386,1.05315,2.9052,1.50509,5.684e-05,5.684e-05,5.684e-05
5,38.3201,1.23571,2.29091,1.51491,0.00667,0.93617,0.62928,0.41707,1.06188,2.88781,1.50951,3.744e-05,3.744e-05,3.744e-05
